id,product_name,brand,category,gender,size,color,price,short_description,long_description,image_paths
38,Aldo Black Bags,Aldo,bags,Women,,Black,380000,Shop the  Black bags — a stylish women bags that blends comfort with timeless design. Perfect for elevating your wardrobe.,"The  Black bags is a premium women bags designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  bags — a wardrobe essential.",product_images\Women\aldo_blackjpeg_38\image_1.jpeg
39,Aldo Grey Bags,Aldo,bags,Women,,Grey,380000,Add  Grey to your collection — quality women bags crafted for the modern individual. Order now!,"The  Grey bags is a premium women bags designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  bags — a wardrobe essential.",product_images\Women\aldo_greyjpeg_39\image_1.jpeg
40,Aldo Black Bags,Aldo,bags,Women,,Black,380000,The  Black bags delivers premium quality with an impeccable fit. A must-have for discerning shoppers.,"The  Black bags is a premium women bags designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  bags — a wardrobe essential.",product_images\Women\aldoblack_380kjpeg_40\image_1.jpeg|product_images\Women\aldoblack_380kjpeg_40\image_2.jpeg|product_images\Women\aldoblack_380kjpeg_40\image_3.jpeg
41,Aldo Black Bags,Aldo,bags,Women,,Black,380000,Add  Black to your collection — quality women bags crafted for the modern individual. Order now!,"The  Black bags is a premium women bags designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  bags — a wardrobe essential.",product_images\Women\aldoblackjpeg_41\image_1.jpeg
42,Guess Yellow Bags,Guess,bags,Women,,Yellow,380000,Add  Yellow to your collection — quality women bags crafted for the modern individual. Order now!,"The  Yellow bags is a premium women bags designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  bags — a wardrobe essential.",product_images\Women\guess_yellowjpeg_42\image_1.jpeg
43,On 34th Pink Bags,On 34th,bags,Women,,Pink,400000,"Discover  Pink bags — where elegance meets everyday comfort. Great value, lasting impression.","The  Pink bags is a premium women bags designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  bags — a wardrobe essential.",product_images\Women\on34th_pinkjpeg_43\image_1.jpeg
44,Steve Madden Yellow Bags,Steve Madden,bags,Women,,Yellow,200000,Add  Yellow to your collection — quality women bags crafted for the modern individual. Order now!,"The  Yellow bags is a premium women bags designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  bags — a wardrobe essential.",product_images\Women\steve_madden_yellowjpeg_44\image_1.jpeg
45,Black Bags,,bags,Women,,Black,400000,The  Black bags delivers premium quality with an impeccable fit. A must-have for discerning shoppers.,"The  Black bags is a premium women bags designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  bags — a wardrobe essential.",product_images\Women\style_co_blackjpeg_45\image_1.jpeg
46,Maroon Bags,,bags,Women,,Maroon,400000,The  Maroon bags delivers premium quality with an impeccable fit. A must-have for discerning shoppers.,"The  Maroon bags is a premium women bags designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  bags — a wardrobe essential.",product_images\Women\style_co_maroonjpeg_46\image_1.jpeg
47,Tommy Hilfiger Navy Bags,Tommy Hilfiger,bags,Women,,Navy,350000,"Discover  Navy bags — where elegance meets everyday comfort. Great value, lasting impression.","The  Navy bags is a premium women bags designed to offer exceptional quality and style. Featuring a carefully crafted silhouette, this piece combines classic aesthetics with modern comfort. Made from high-quality materials, it ensures durability and a refined look.. Suitable for a range of occasions, from casual outings to more polished events. Complete your look with this versatile  bags — a wardrobe essential.",product_images\Women\tommy_navyjpeg_47\image_1.jpeg
